ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV97,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV97,g_f_Beijerinckiaceae_ASV97_ASV97
ASV98,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV98,g_f_Beijerinckiaceae_ASV98_ASV98
ASV99,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV99,g_f_Beijerinckiaceae_ASV99_ASV99
ASV100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV100,g_f_Beijerinckiaceae_ASV100_ASV100
ASV101,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,f_Methylobacteriaceae_ASV101,g_f_Methylobacteriaceae_ASV101_ASV101
ASV102,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV102,g_f_Beijerinckiaceae_ASV102_ASV102
ASV103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV103,g_f_Bradyrhizobiaceae_ASV103_ASV103
ASV104,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV104,g_f_Bradyrhizobiaceae_ASV104_ASV104
ASV105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,organophilum
ASV106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,adhaesivum
ASV107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,g_Methylobacterium_ASV107
ASV108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV108,g_f_Bradyrhizobiaceae_ASV108_ASV108
ASV109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV109,g_f_Bradyrhizobiaceae_ASV109_ASV109
ASV110,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV110,g_f_Bradyrhizobiaceae_ASV110_ASV110
ASV111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV111,f_o_Rhizobiales_ASV111_ASV111,g_f_o_Rhizobiales_ASV111_ASV111_ASV111
ASV112,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV112,g_f_Beijerinckiaceae_ASV112_ASV112
ASV113,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV113,g_f_Bradyrhizobiaceae_ASV113_ASV113
ASV114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV114,f_o_Rhizobiales_ASV114_ASV114,g_f_o_Rhizobiales_ASV114_ASV114_ASV114
ASV115,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV115,f_o_Rhizobiales_ASV115_ASV115,g_f_o_Rhizobiales_ASV115_ASV115_ASV115
ASV116,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV116,f_o_Rhizobiales_ASV116_ASV116,g_f_o_Rhizobiales_ASV116_ASV116_ASV116
ASV117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV117,f_o_Rhizobiales_ASV117_ASV117,g_f_o_Rhizobiales_ASV117_ASV117_ASV117
ASV118,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV118,f_o_Rhizobiales_ASV118_ASV118,g_f_o_Rhizobiales_ASV118_ASV118_ASV118
ASV119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV119,f_o_Rhizobiales_ASV119_ASV119,g_f_o_Rhizobiales_ASV119_ASV119_ASV119
ASV120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV120,f_o_Rhizobiales_ASV120_ASV120,g_f_o_Rhizobiales_ASV120_ASV120_ASV120
ASV121,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,f_Xanthobacteraceae_ASV121,g_f_Xanthobacteraceae_ASV121_ASV121
ASV122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,g_Labrys_ASV122
ASV123,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV123,f_o_Rhizobiales_ASV123_ASV123,g_f_o_Rhizobiales_ASV123_ASV123_ASV123
ASV124,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV124,f_o_Rhizobiales_ASV124_ASV124,g_f_o_Rhizobiales_ASV124_ASV124_ASV124
ASV125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV125
ASV126,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV126
ASV127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV127
ASV128,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV128
ASV129,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV129
ASV130,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV130,f_o_Rhizobiales_ASV130_ASV130,g_f_o_Rhizobiales_ASV130_ASV130_ASV130
ASV131,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV131,f_o_Rhizobiales_ASV131_ASV131,g_f_o_Rhizobiales_ASV131_ASV131_ASV131
ASV132,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV132
ASV133,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV133,f_o_Rhizobiales_ASV133_ASV133,g_f_o_Rhizobiales_ASV133_ASV133_ASV133
ASV134,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV134
ASV135,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV135
ASV136,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV136
ASV137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV137
ASV138,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV138
ASV139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV139
ASV140,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV140
ASV141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV141
ASV142,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV142
ASV143,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV143
ASV144,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV144
ASV145,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV145
ASV146,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV146
ASV147,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,f_Methylocystaceae_ASV147,g_f_Methylocystaceae_ASV147_ASV147
ASV148,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV148,f_o_Rhizobiales_ASV148_ASV148,g_f_o_Rhizobiales_ASV148_ASV148_ASV148
ASV149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV149,f_o_Rhizobiales_ASV149_ASV149,g_f_o_Rhizobiales_ASV149_ASV149_ASV149
ASV150,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Pleomorphomonas,g_Pleomorphomonas_ASV150
ASV151,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV151,f_o_Rhizobiales_ASV151_ASV151,g_f_o_Rhizobiales_ASV151_ASV151_ASV151
ASV152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,f_Rhizobiaceae_ASV152,g_f_Rhizobiaceae_ASV152_ASV152
ASV153,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,f_Rhodobacteraceae_ASV153,g_f_Rhodobacteraceae_ASV153_ASV153
ASV154,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,f_Rhizobiaceae_ASV154,g_f_Rhizobiaceae_ASV154_ASV154
